Title,Published date,Issues,Number of signatures
"American people, say NO loudly to sexual assault!"," October 28, 2017","In the US, do influence and power give one the right to commit acts of sexual assault and insult to women? Why does the department of justice turn a blind eye to these acts of sexual assault and insult? Harvey Weinstein and Chinese fugitive billionaire Guo Wengui namely Kwok Miles. American people, say NO loudly to sexual assault! Demand the department of justice to exercise its legally entrusted functions, and accordingly penalise those criminals who have committed acts of sexual assault!","107,851"
Saivian LLc. USA and Saivian International Inc Scam," September 09, 2017","Saivian LLC. USA and Saivian International Inc. Hong Kong, started from last year February 2016, is suspected of being involved in scam, money laundering, and tax evasion. Cash amount involved is over 1 billion, and members involved over 2 million worldwide. We are here to file a petition to ask congress to take action on investigating Savian LLC, Saivian LLC. USA and Saivian international Inc. Hong Kong, and the owner of both companies, Eric J Dalius.","107,685"
Sanction Daniel Ortega under the Magnitsky Act," May 30, 2018","We the people demand to see the socialist dictator of Nicaragua, Daniel Ortega, sanctioned under the Magnitsky Act for human rights violations. These include censorship, repression, torture and the murder of over 76 citizens since April 19th (as documented and reported by Amnesty International and the Inter-American Commission on Human Rights.) We can help stop this ongoing bloodshed by restricting Ortega's assets while raising awareness of his crimes.","107,257"
Expulsion For Maxine Waters - Remove Her From Congress," June 25, 2018","It's time for Maxine Waters to go.
Waters has crossed a dangerous line, calling for attacks and violence against all Trump officials.
What Waters said, when she called on Americans to ""push back"" against Trump officials, and make it impossible for them to shop, eat out, or go to gas stations, is one of the most irresponsible statements anyone could have said, let alone a so-called Democrat leader.
It is especially dangerous to call for public attacks at a time in our country when liberals are so wildly unhinged and violent, have no control over their emotions and are brainwashed by fake news and hoodwinked by lying, sleazy politicians like Maxine Waters.
Under the circumstances, censure is not enough for Maxine Waters.
Waters should face expulsion for what she's done.","104,965"
Save Oleg Sentsov," August 09, 2018",Civil Rights & Equality,"18,039"
Call for Congress to STOP Twitter censorship and violation of First Amendment rights," August 01, 2018","The censorship of political voices on Twitter is a violation of the First Amendment and tantamount to election interference in an election year.
Twitter is guilty of political terrorism using censorship and intimidation tactics against political voices that aren't in line with their political agendas.
We the people of the United States demand public hearings by Congress and the FCC into Twitter's shadow banning, suspensions and censorship practices at all levels.","13,151"
Terminate Iran’s Sanctions NOW!," July 25, 2018","Economic sanctions are unjustifiable acts that lead to widespread human rights violations. The United States’ 4 decades of unfair sanctions against ordinary people in Iran have harmed Iranians’ right to life, to self-determination, to development, and children’s right. The so-called recent “smart sanctions” have had significant negative effects on Iranian citizens, including sharp rise in inflation, a rise in commodities and energy costs, destruction of banking system, rising unemployment rate, and a shortage of necessary items, including medicine.
While supporting Iran’s suit in the International Court of Justice, human rights advocates and NGOs are calling on the White House to immediately suspend the Sanctions against Iran.
#StopIranSanctions
#StopTrump","11,049"
Breastfeeding: protecting mothers and babies until age 2," July 21, 2018","This petition is to draw attention to the current breastfeeding federal law. The law states that an employer must give adequate time and space to a nursing/pumping mothers until their baby is the age of 1. I am trying to change that law! I would like the federal government to recognize that the World Health Organization promotes breastfeeding until the age of two years old. Most other countries promote breastfeeding well into the years after one, the United States does not protect breastfeeding mothers with such grace. I personally have a 13 month old baby who is still breast fed. She loves her milk! It is unfair to tell a working/nursing mother she is not allowed time to pump milk for her baby. Breast milk is so beneficial and we should be promoting it more than it is! Please help!","10,451"
Seize by eminent domain US Sugar Corp & Florida Crystals farmland and restore the natural flow of Lake Okeechobee South.," July 31, 2018","Blue-green algae (cyanobacteria) has filled nearly half of Lake Okeechobee and this toxic, nutrient rich water is being released out into the Caloosahatchee and St. Lucie rivers killing marine wildlife at unprecedented levels and endangering the health of all South Florida citizens in close proximity to the infested waters.
The petition signors call upon Congress to seize all land, by way of eminent domain, owned by both U.S. Sugar Corp., and Florida Crystals. This land should then be used to establish reservoirs as well restored to its natural state, allowing for the flow of excess water from Lake Okeechobee South through the Everglades putting into place the necessary systems to achieve this goal and to ensure the safety of communities downstream.","7,440"
"President Trump, Did You Call Most Chinese Students Spies?"," August 11, 2018","Politico reported that President Trump called “almost every student” from China a spy. It is reported that the White House declined Politico’s request for comment. 
We do not know if this is true, but we were shocked by this report. If it were true, it would be outrageous and offensive to more than 350,000 Chinese students studying at U.S. universities, to hundreds of thousands of Chinese and Chinese Americans who came to this country as students, and to Chinese Americans whose ancestors came to this country as students. 
We urge President Trump to clarify this issue. If this is true, we urge him to apologize for his irrational comments on Chinese students and society.","5,605"
Rescue a U.S. pastor from Chinese prison!," August 02, 2018","Pastor John Cao, a U.S. resident from North Carolina, has been imprisoned in China for over a year. 
While working to build schools for impoverished children in Myanmar, John was detained at the Chinese border on March 5, 2017. Twenty days later, he was charged with “organizing illegal border crossing,” despite the fact that he had used the same route between China and Myanmar for this humanitarian work for years. In three years, John helped build 16 schools that serve more than 2,000 children. He was unfairly sentenced to seven years in a Chinese prison. 
We call upon the U.S. government to pressure the Communist Party to unconditionally release Pastor John Cao and allow him to return home to America to see his wife and sons again. #FreeJohnCao","5,488"
"Senate: Pass the Blue Water Navy Vietnam Veterans Act of 2017, as passed in House Bill HR299."," August 02, 2018","The United States government, through it's agency the Veterans Affairs, has a DUTY to TREAT medical problems associated with military service; COMPENSATE veterans (or their families) for early death or disability associated with their service; and MONITOR and DOCUMENT the effects of government policy and MISTAKES that created a higher health risk. For 50 years, VA has FAILED to monitor and document the effects of Agent Orange on military members that served in the ""Blue Water Navy"" during Vietnam. Congress is attempting to ""fix"" this dereliction of duty - and VA Officials oppose the change. We the people support treatment and compensation for these medical issues; and believe monitoring and documenting these issues should be the responsibility of VA, not the individual veterans.","2,588"
"Voting machines disenfranchise the American Voter and must be replaced with a transparent, accountable system."," July 29, 2018","THE SOLUTION: easily implementable technology that is already in worldwide use: The BLOCK CHAIN, a mathematical protocol that will keep EXACT counts of ALL votes, ensure voter anonymity and be kept on a permanent public ledger on the Internet that cannot be hacked. The true number of all votes will be visible to ALL voters forever. If not visible to the voter when they make their selection, electronic votes on voting machines can be easily hacked and changed. How can one be sure that their votes are actually counted? Paper ballots could work, but miscounts/manipulation is still possible and the voter still never knows for sure, if their vote was tallied for their candidate. With BLOCK CHAIN voting, every single voter can see ALL VOTES. And if they wish, can count for themselves.","2,479"
Voter Identifications required at all polling stations! All non citizen votes will be purged from all USA elections!," August 01, 2018","I am petitioning on behalf of We The People, to have fair elections that are free,
 from being influenced by non Americans!","1,990"
Our Wildlife is Dying!!  Clean Up Lake Okeechobee!!," July 31, 2018","The toxic water from Lake Okeechobee is dumped down the Caloosahatchee And St Lucie Rivers.   These dumps are KILLING our wildlife. Hundreds of thousands of dead fish, dolphins, Sea Turtles, Manatees and Whale Sharks litter our beaches.  Our canals are covered in green slime.  DO SOMETHING NOW!!!","1,702"
Condemn state-sponsored terrorism in Bangladesh," August 05, 2018","Protests have broken out throughout Bangladesh against the government due to poor traffic regulations and road conditions, which caused the deaths of 2 students and thousands of others. On August 4th, 2018, government-sponsored groups and police escalated the protests, turning them violent. Women have been kidnapped and assaulted by police and supporting organizations. Hundreds of protesters, journalists, and students have been beaten and seriously injured by police/supporting groups using poles and machetes, with multiple instances of children having their eyes gouged out. Students are being severely injured or killed by government police in order to end the protests using fear and terror. We the People are calling on the US government to condemn state-sponsored terrorism in Bangladesh.","1,571"
Grant Brian D. Hill of USWGO news a Pre-charge pardon for his false guilty plea for him to prove actual innocence," July 20, 2018","Brian D. Hill, formerly of defunct political alternative news blog of USWGO Alternative News, needs U.S. President Donald John Trump to grant him a pre-charge pardon for his false guilty plea on June 10, 2014.
Once Brian overturns his criminal conviction on actual innocence, the U.S. Attorney plans to charge Brian with perjury since he was forced by circumstances to take the guilty plea or face twenty years in federal prison due to ineffective assistance of counsel.
https://justiceforuswgo.wordpress.com/2018/07/20/pardon-brian-d-hill-of-...
Factual Circumstances of why Brian David Hill of USWGO had falsely plead guilty under Oath:
1. Health deterioration
2. Ineffective counsel","1,565"
N.E.S.A.R.A.(NATIONAL ECONOMIC SECURITY AND REFORMATION ACT)," July 25, 2018","This petition benefits everyone.Forgives debt due to illegal banking practices,abolishes I.R.S.,Returns constitutional law,Creates new US Treasury currency backed by gold,ceases war and declares worldwide peace,releases free energy devices,replicators,and sonic healing machines(med beds)already in use by the secret space program,increases benefits to senior citizens,abolishes income taxes,creates flat rate non-essential ""new items only "" sales tax revenue for government,eliminates federal reserve,retrains all judges and attorneys in constitutional law,releases prosperity and abundance packages for every living person on the planet,returns constitutional law to all courts and legal matters,releases enormous amounts of money for humanitarian projects.","1,481"
Can Use a Fake Name and VPN On Facebook Without Getting Flagged or Confirm Your Identity With Facebook," July 25, 2018","confirm your identity with facebook https://my.pcloud.com/publink/show?code=XZX3627Z75mgNUF39bXo3CsxTdRbR8mQ... 
https://my.pcloud.com/publink/show?code=XZY3627Z3QyzY5ax8gb4oCzC0h3jdjIR... 
https://my.pcloud.com/publink/show?code=XZiG627Z94a9J6gO1sSs2d3DFd4rokSm... 
https://my.pcloud.com/publink/show?code=XZWv627ZrOyU3JMpSz8zp9O8MuSSih7M...","1,062"
End Online Service Dog/Emotional Support Animal Registries," July 24, 2018","Hundreds of thousands of disabled people in the United States depend on service dogs. They give the disabled independence that they wouldn't otherwise have. There is no registry for service dogs, at least not one that is legally recognized. Many online websites claim to be registries and even advertise ""Take your dog with you anywhere, legally"". These sites undermine the ADA by providing false information, and they encourage people to register pets as service animals. ""Fake"" service animals put the real ones at risk. Service dogs are often attacked by these registered ""service animals"" and service dog handlers harassed/discriminated against because they don't have an ID for their dog. These online registries need to be abolished.","1,050"
Officially label Antifa as a domestic terrorist organization.," August 05, 2018","Due to the many attacks on American citizens, who are exercising their rights to free assembly, due to the many attacks on American citizens, who are exercising their freedom of speech, due to the violence, due to the harassment both in person and online, due to the damages to personal and public property, due to the apparent unwillingness of certain local governments to protect law abiding citizens from these attacks, and due to the nationwide coordination of this group. We call upon our representatives on Capitol Hill, the Department of Justice, the Department of Homeland Security, and the President to take the steps necessary to label Antifa as a domestic terrorist organization. Please, do not wait for their attacks to turn deadly, before taking action.","1,019"
We the People are calling on congress to deem Hollywood Pedophilia a National Security Threat.," July 26, 2018","We the people of the United States boldly ask Congress to deem Hollywood Pedophilia a national Security threat. Due the the extreme severity of Hollywood Elite Sex Cults, we have no choice but to determine that Hollywood is a pedophile/trafficking ring of the worst magnitude and we demand action against it. We will not coexist with such evil and lawlessness. These Hollywood and Political elitists cooperate with each other using all aspects of American Industry to traffic and rape young children all over the world and here at home. It is time we stand up and say, NOT ANOTHER CHILD!!",984
Revoke security clearances for intelligence officials after they leave that position.," July 22, 2018","Since the election of Donald Trump we have witnessed former DNI(Director Natl Intelligence) James Clapper, DCI (Director Central intelligence) John Brennan, FBI director,James Comey appear on cable, network news and the press as employees conspiring to delegitimize the office of the President. Accusations of treason, mental health, racism, creating a coup to overthrow a duly elected President are only a few of these dangerous allegations. These former officials continue to have unfettered access to top secret information including that of the sitting President and his supporters. We must endeavor to protect national security leaks from former leaders of the IC. They present a clear threat to undermine the elected government by using their credibility as uniquely trusted former IC official",907
We are asking congress to forgive all student debt to those who attended and/or graduated The Art Institutes.," July 21, 2018","Americans are suffering the burden of immense student debt. The Art Institutes are misleading students into enrolling for the sake of making a large profit. Thousands are students were coerced into enrolling under false pretenses and given misleading financial aid and job placement information. The school has already faced a lawsuit and settlement in 2015 for almost $10 million for illegal recruiting, consumer fraud, and other violations. The school lost accreditation without informing students, harming thousands. The White House is neglecting college graduates who are buried in debt from a school making a profit off Federal Financial Aid (Title IV). We want our livelihood back. Please sign the petition to tell The White House to forgive all student debt from fraudulent The Art Institute.",860
Shut Down the Mueller Witch Hunt," July 21, 2018","Americans agree with President Trump - the Mueller Special Counsel investigation is just a witch hunt. It is serving in violation of the Appointments Clause of the Constitution. Mr. Rosenstein usurped the authority of the president of the United States to nominate whomever he wants as a prosecutor, and he usurped the power of the United States Senate which has the control of a confirmation or not. The reasons alone are more than enough to stop it dead in its tracks, but there are several other serious issues with it: it is substantially impeding the progress of the 45th President on many fronts; it has far exceeded its original scope; it is an investigation in search of a crime, not a criminal; it is dividing America; and last but not least, it is a giant waste of taxpayer dollars. End it.",848
Hire Scavenger Global Decontamination Vessel to clean Lake Okeechobee," August 12, 2018","Lake Okeechobee is covered in cyanobacteria, polluting our waterways to the East via St. Lucie River and West via Caloosahatchee River. There is a serious threat to human, marine and land life. We are seeing an influx of red tide on our beaches killing countless amounts of fish, turtles, birds, marine plants and other life. 
The vessel is specifically designed to combat high levels of harmful bacteria such as E.coli, viruses, protozoa and algae through the application of ozone, hydroxyl radical, ultraviolet rays and oxygen, coupled with removal of surface debris, algae and plant growth operating intangent to offer the most advanced full service water decontamination vessel existing today.
The Scavenger2000® process up to 28,800,000 gallons of water per 24 hours.",820
"Remove from Department of Justice, Assistant AG, Rod Rosenstein"," July 22, 2018","We have lost faith in the Department of Justice to faithfully investigate and prosecute crimes from the previous and current administration, and to be fair and unbiased towards the current administration. 
The Assistant Attorney General is incompetent and Lawful Congressional oversight is being obstructed.
We believe Rod Rosenstein unconstitutionally appointed Robert Mueller as Special Council and has conducted an illegal investigation.
We have lost respect for the Department of Justice , and have no faith in Rod Rosenstein. 
Enough!!! We demand the restoration of honor, integrity, and humility to the Department of Justice
We trust Congress to support the President with MAGA replacements from outside DOJ headquarters",747
Unseal All Records of Barack Hussein Obama," July 23, 2018",Several times Barack Hussein Obama has brought his own legitimacy into question. Most recently he said on a trip to Africa that he was the first sitting President of The United States from Kenya to be elected. This reopens our doubts about his records which were sealed and we the people demand they be unsealed. If he is hiding nothing then he should have nothing to fear. If he is hiding something he must be held accountable and prosecuted. No one remembers him from colleges he reportedly attended including Occidental & Columbia. The birth certificate he presented has many flaws including terminology not used in the era of its supposed creation. He also reportedly interfered in the 2016 election and if he did not then his records will state otherwise. We the people want answers!,723
"Stop the Seizures, Raids, and Harassment of Legal Cannabidiol Stores."," July 27, 2018","We come to you in request of an enforced fourth amendment. Thanks to many local and state laws, as well as The 2018 Farm Bill, Cannabidiol has been legally accessed by countless people across the nation for several years. Unfortunately, we don't have the protection our great constitution has offered our neighbors. Simply because of miscommunication, and old – tired stigmas, our CBD shops are regularly raided, our inventories are drained, and we are left to pick up the pieces. Even though absolutely no laws have been broken, our livelihood is taken away.
 CBD is not a drug and we should not be treated as drug dealers in our own communities. We demand protection so that we sleep soundly knowing we won't awake to raids and our clients are treated like criminals.",633
Rare disease and medically complex children need access to quality specialty clinics!," August 15, 2018","There are thousands of medically complex patients in the U.S. living with a rare disorder. Patients that often have insurance (be it private or Medicaid) that will not approve out-of-network medical care at established hospitals that understand or specialize in rare disorders. Families are forced to 'exhaust' [waste] resources on unnecessary medical requirements, sometimes for years. Our children desperately need healthcare reform that allows immediate, insurance approved, access to established clinics in the U.S.  Access to specialists that understand specific disorders and have the means to help children maintain the best quality of life possible. BETTER healthcare and LESS unnecessary spending! *My child has Kabuki Syndrome. We represent All Things Kabuki, a U.S. patient advocacy group.",492
PARDON ALL THE DEFENDANTS THAT STOOD WITH THE BUNDYS AT BUNKERVILLE & AND AT THE MALHEUR WILDLIFE REFUGE," July 20, 2018","Eric Parker, Scott Drexler, Todd Engel, Greg Burelson, Jerry DeLemus, Pete Santili, Brian Cavalier, Blaine Cooper, Joe O'Shaughnessy, Sean Anderson, Sandy Anderson, Dylan Anderson, Wesley Kjar, Travis Cox, Corey LeQuieu, Ryan Payne, Jon Ritzheimer, Jason Blomgren, Eric Flores, Geoff Stanek, Michael Emry, Jason Patrick, Darryl Thorn, Jake Ryan, and Duane Ehmer. These men and women stood against corrupt federal government agencies defending the rights of Americans that still believe the Constitution is the law of the land. Some are facing long prison terms on trumped up charges, separated from their families. PATRIOTISM IS NOT A CRIME! God fearing, America loving Patriots across this land are asking that the above mentioned be given a full pardon by We The People's President, Donald J Trump.",451
PUBLICLY EXPOSE TO AMERICANS TWO DECADES OF PERSECUTION & ORGAN TRAFFICKING OF FALUN DAFA MEDITATORS IN COMMUNIST CHINA," July 20, 2018","Falun Dafa is a Mind-Body Practice guided by Truth, Benevolence, Forbearance. The practice grew to 100 million people in China by 1999, resulting in widespread health benefits, making people in society a more honest, kind and tolerant parent, child, friend, colleague, student or member of society. The Communist regime in China spends billions of dollars to use its own citizens to slander Falun Dafa people and spread misinformation, thinking Americans can be fooled, manipulated or made to look the other way with business opportunities or media influence. Consequently, making our companies, people, and media entities a victim, or an indirect accomplice, by not reporting or speaking out against the largest persecution in human history by sheer numbers: 100 million people.  SEE  HOUSE Res.343",422
The Internet Bill of Rights," August 07, 2018","Internet forums and social networks which provide free access to the people are a place of public assembly. Individuals using the Internet to freely express their 1st Amendment Right to Free Speech should be able to do so without bias. Many large public  platforms are deciding what the people can and cannot share or read. This infringes on our 1st Amendment right’s.  
Some of these platforms completely delete and ban people from being able to speak their mind. These actions directly violate personal liberty and stand at contrast with the bill of rights.
We the People demand action from our elected officials. Free speech is a right that shall not be denied!",412
"A Petition that Donald J. Trump, President of the United States: Pardon Julian Assange",,"Julian Assange has, in the respected tradition of American journalism obtained and published information that is classified and newsworthy, a practice shared with the Washington Post, New York Times, Wall Street Journal et al. The accuracy of materials published by Wikileaks has ever been in dispute. Assertions by the American Intelligence Services that Julian Assange is the agent of a ‘Hostile Foreign State” or the Russian government is politically suspect and completely unproven and denied by Assange. Assange is a humanitarian journalist providing an invaluable platform for whistleblowers exposing corruption and criminality infesting governments, nullifying democracy and obliterating human rights, around the world. We the undersigned urge President Donald J. Trump, Pardon Julian Assange.",377
RELEASE BLOGGER ME NAM AND OTHER PRISONERS OF CONSCIENCE IN VIETNAM NOW," July 20, 2018","There are more than 100 political prisoners currently being locked up in Vietnam. Blogger Mother Mushroom is one of them. Last year, she was sentenced to 10 years in prison for ‘conducting anti-State propaganda’. The State Department thereafter ‘calls on Vietnam to release Mother Mushroom and all other prisoners of conscience immediately’. 
To date, she has not yet been released. Worse, she has been subjected to inhumane treatment which has prompted her to go on a hunger strike. We, therefore, call on the White House and Congress to do all they can to win her release.
Further, we urge this Administration to apply the Magnitsky sanctions against Vietnamese officials who have committed human rights violations in the imprisonment of other political prisoners.",364
Keep our elections clean  -  Ban electronic voting systems!," July 27, 2018","There are far too many vulnerabilities in the various electronic voting machines currently in use, from both foreign and domestic entities.  We deserve to have safe and secure elections without having to worry about the code running in the background!  
Free and fair elections were held successfully in the past before computers, let's go back to a system that We The People can trust!  We patriotic Americans are calling on Congress to have an open discussion with the American people on coming up with a system that everyone, regardless of party, can agree on!",364
No Immunity For John and/or Tony Podesta No Immunity for ANY Child Rapist," July 18, 2018","Robert Mueller is considering giving immunity to both the Podesta Brothers in exchange for testimony on Paul Manafort. The Podesta Brothers have allegedly committed agregious crimes against children. They do not deserve a shred of leniency. Furthermore No person who commits crimes against children involving sex, exploitation, grave physical abuse, murder while being human trafficked, abuse while being human trafficked deserves even a shred of leniency. Sign this petition to show Robert Meuller WE WILL NOT STAND FOR AN FBI DIRECTOR WHO MAKES DEALS WITH CHILD RAPISTS AND TRAFFICKERS",337
Reinstate Alex Jones and Infowars Accounts on ALL social Media," August 06, 2018",Corporations are monopolizing the ability for Americans to  Exercise they're right to free speech.,326
"Please keep ""Rule 336"" of the FAA Modernization act INTACT so it will protect model aviation hobbyists."," August 09, 2018","The FAA, Department of Defense, and certain members of congress are looking to remove a current section of the FAA Modernization and Reform Act that directly protects model aviation hobbyists.  This protection called ""Rule 336"" exempts those involved in model aviation for ""hobby & recreation"" from serious & unnecessary regulation from the FAA.  The FAA & officials claim they must do something about ""drones/multi-rotor copters"".  However, there are hundreds of thousands of safe, CBO rule abiding,  fixed-wing R/C pilots being included.  If Rule 336 is modified or removed, our hobby will be dealt a heavy blow - hobby shops will close, club memberships will drop, flying fields will disappear, and young pilots will be discouraged from the great fun of building and flying models.",290
Repeal of the Real ID Act," July 23, 2018","This petition is to repeal the Real ID Act, Pub.L. 109-13, 119 Stat. 302, enacted May 11, 2005. This act initiates a deeper level of monitoring beginning with tracking what federal buildings law-abiding citizens are entering. The Federal Driver License has the potential to be used in a much broader scope then intended. The first area of overreach predicted is in the area of travel. It would begin the tracking of all movements for citizens like an internal passport system. The second concern is the increase of federal data on all citizens putting additional data in federal databases. Benjamin Franklin said that ""those who would give up essential Liberty, to purchase a little temporary Safety, deserve neither Liberty nor Safety."" This law gives up essential liberty for no additional safety.",263
"To declare the Nicaraguan FSLN, National Sandinista Liberation Front, a terrorist organization."," July 21, 2018","The FSLN throughout its existence has shifted from an anti corruption movement, to an extremely corrupt, communist, drug trafficking enterprise that has subjected the people of Nicaragua with extreme violence and mass murder.  It has also sent hit men to end the lives of American Citizens in the US, including members of Congress, who speak out against it.  It has in the past carried out murders in American soil.  The FSLN should no longer be considered a political party, it has given terror to the people of Nicaragua and has sent terror to our beloved United States of America.  We also ask that all visas for active members of the FSLN be revoked and that all immigration statuses of any supporters of this terror organization in the US be revised, green cards revoked for treason.",258
