Name
"MURPHY, STEPHANIE campaign speech"
"POSEY, BILL campaign speech"
"SOTO, DARREN campaign speech"
"DEMINGS, VALDEZ VAL campaign speech"
"WEBSTER, DANIEL campaign speech"
"BILIRAKIS, GUS M campaign speech"
"CRIST, CHARLIE JOSEPH campaign speech"
"CASTOR, KATHY campaign speech"
"ROSS, DENNIS ALAN campaign speech"
"BUCHANAN, VERNON campaign speech"
"ROONEY, TOM MR. campaign speech"
"MAST, BRIAN campaign speech"
"ROONEY, FRANCIS campaign speech"
"HASTINGS, ALCEE L campaign speech"
"FRANKEL, LOIS J. campaign speech"
"DEUTCH, THEODORE ELIOT campaign speech"
"SCHULTZ, DEBBIE WASSERMAN campaign speech"
"WILSON, FREDERICA S. campaign speech"
"DIAZ-BALART, MARIO campaign speech"
"CURBELO, CARLOS MR. campaign speech"
"ROS LEHTINEN, ILEANA THE HON. campaign speech"
"NELSON, BILL campaign speech"
"CARTER, EARL LEROY campaign speech"
"BISHOP, SANFORD D campaign speech"
"FERGUSON, ANDERSON DREW IV campaign speech"
"JOHNSON, HENRY C.  HANK campaign speech"
"LEWIS, JOHN R. campaign speech"
"PRICE, THOMAS EDMUNDS campaign speech"
"WOODALL, ROB REP. campaign speech"
"SCOTT, JAMES AUSTIN campaign speech"
"COLLINS, DOUGLAS ALLEN campaign speech"
"HICE, JODY campaign speech"
"LOUDERMILK, BARRY campaign speech"
"ALLEN, RICHARD W campaign speech"
"SCOTT, DAVID ALBERT campaign speech"
"GRAVES, JOHN THOMAS MR. JR. campaign speech"
"HANABUSA, COLLEEN W. campaign speech"
"GABBARD, TULSI campaign speech"
"HIRONO, MAZIE K campaign speech"
"BLUM, RODNEY campaign speech"
"LOEBSACK, DAVID WAYNE campaign speech"
"YOUNG, DAVID campaign speech"
"KING, STEVE MR. campaign speech"
"LABRADOR, RAUL R. HON. campaign speech"
"SIMPSON, MICHAEL campaign speech"
"RUSH, BOBBY LEE campaign speech"
"KELLY, ROBIN campaign speech"
"LIPINSKI, DANIEL WILLIAM WILLIAM campaign speech"
"GUTIERREZ, LUIS V campaign speech"
"QUIGLEY, MIKE campaign speech"
"ROSKAM, PETER campaign speech"
"DAVIS, DANNY K. MR. campaign speech"
"KRISHNAMOORTHI, S. RAJA campaign speech"
"SCHAKOWSKY, JANICE D campaign speech"
"SCHNEIDER, BRADLEY SCOTT campaign speech"
"FOSTER, G. WILLIAM (BILL) campaign speech"
"BOST, MICHAEL campaign speech"
"DAVIS, RODNEY L campaign speech"
"HULTGREN, RANDY campaign speech"
"SHIMKUS, JOHN M campaign speech"
"KINZINGER, ADAM campaign speech"
"BUSTOS, CHERI campaign speech"
"LAHOOD, DARIN MCKAY campaign speech"
"DUCKWORTH, L TAMMY campaign speech"
"VISCLOSKY, PETER J. campaign speech"
"WALORSKI SWIHART, JACKIE campaign speech"
"BANKS, JAMES E campaign speech"
"ROKITA, THEODORE EDWARD campaign speech"
"BROOKS, SUSAN MRS. campaign speech"
"MESSER, ALLEN LUCAS campaign speech"
"CARSON, ANDRE campaign speech"
"BUCSHON, LARRY D. campaign speech"
"HOLLINGSWORTH, TREY campaign speech"
"DONNELLY, JOSEPH SIMON campaign speech"
"MARSHALL, ROGER W campaign speech"
"JENKINS, LYNN campaign speech"
"YODER, KEVIN campaign speech"
"POMPEO, MICHAEL R campaign speech"
"COMER, JAMES campaign speech"
"GUTHRIE, S. BRETT HON. campaign speech"
"YARMUTH, JOHN A MR campaign speech"
"MASSIE, THOMAS H. campaign speech"
"ROGERS, HAROLD DALLAS campaign speech"
"BARR, GARLAND ANDY campaign speech"
"SCALISE, STEVE MR campaign speech"
"RICHMOND, CEDRIC L. campaign speech"
"HIGGINS, CAPTAIN CLAY campaign speech"
"JOHNSON, JAMES MICHAEL campaign speech"
"ABRAHAM, RALPH LEE DR. JR. campaign speech"
"GRAVES, GARRET campaign speech"
"NEAL, RICHARD E MR. campaign speech"
"MCGOVERN, JAMES P. MR. campaign speech"
"TSONGAS, NICOLA S campaign speech"
"KENNEDY, JOSEPH P III campaign speech"
"CLARK, KATHERINE campaign speech"
"MOULTON, SETH campaign speech"
"CAPUANO, MICHAEL E campaign speech"
"LYNCH, STEPHEN campaign speech"
"KEATING, WILLIAM RICHARD campaign speech"
"WARREN, ELIZABETH campaign speech"
"HARRIS, ANDREW P campaign speech"
"RUPPERSBERGER, C.A. DUTCH campaign speech"
"SARBANES, JOHN P. MR. campaign speech"
"BROWN, ANTHONY campaign speech"
"HOYER, STENY campaign speech"
"DELANEY, JOHN K campaign speech"
"CUMMINGS, ELIJAH E campaign speech"
"RASKIN, JAMIE campaign speech"
"CARDIN, BENJAMIN L campaign speech"
"PINGREE, CHELLIE M campaign speech"
"POLIQUIN, BRUCE L campaign speech"
"KING, ANGUS STANLEY JR campaign speech"
"BERGMAN, JOHN campaign speech"
"HUIZENGA, WILLIAM P THE HON. campaign speech"
"AMASH, JUSTIN campaign speech"
"MOOLENAAR, JOHN campaign speech"
"KILDEE, DANIEL T. campaign speech"
"UPTON, FREDERICK STEPHEN campaign speech"
"WALBERG, TIMOTHY L HON. campaign speech"
"BISHOP, MIKE campaign speech"
"LEVIN, SANDER M MR campaign speech"
"MITCHELL, PAUL III campaign speech"
"TROTT, DAVID A campaign speech"
"DINGELL, DEBBIE campaign speech"
"CONYERS, JOHN JR. campaign speech"
"LAWRENCE, BRENDA LULENAR campaign speech"
"STABENOW, DEBBIE campaign speech"
"WALZ, TIMOTHY J campaign speech"
"LEWIS, JASON MARK MR. campaign speech"
"PAULSEN, ERIK MR. campaign speech"
"MCCOLLUM, BETTY campaign speech"
"ELLISON, KEITH MAURICE campaign speech"
"EMMER, THOMAS EARL JR. campaign speech"
"PETERSON, COLLIN CLARK campaign speech"
"NOLAN, RICHARD M. campaign speech"
"KLOBUCHAR, AMY campaign speech"
"CLAY, WILLIAM LACY JR campaign speech"
"WAGNER, ANN L. campaign speech"
"LUETKEMEYER, W BLAINE campaign speech"
"HARTZLER, VICKY campaign speech"
"CLEAVER, EMANUEL II campaign speech"
"GRAVES, SAMUEL B JR  SAM campaign speech"
"LONG, BILLY MR. campaign speech"
"SMITH, JASON T campaign speech"
"MCCASKILL, CLAIRE campaign speech"
"KELLY, JOHN TRENT campaign speech"
"THOMPSON, BENNIE G. campaign speech"
"HARPER, GREGG campaign speech"
"PALAZZO, STEVEN MCCARTY campaign speech"
"WICKER, ROGER F campaign speech"
"ZINKE, RYAN K campaign speech"
"TESTER, JON campaign speech"
"BUTTERFIELD, GEORGE K. campaign speech"
"HOLDING, GEORGE E MR. campaign speech"
"JONES, WALTER B. campaign speech"
"PRICE, DAVID E. campaign speech"
"FOXX, VIRGINIA ANN campaign speech"
"WALKER, BRADLEY MARK campaign speech"
"ROUZER, DAVID CHESTON campaign speech"
"HUDSON, RICHARD L. JR. campaign speech"
"PITTENGER, ROBERT M. THE HON. campaign speech"
"MCHENRY, PATRICK TIMOTHY campaign speech"
"MEADOWS, MARK R campaign speech"
"ADAMS, ALMA SHEALEY campaign speech"
"BUDD, THEODORE P MR. campaign speech"
"CRAMER, KEVIN MR. campaign speech"
"HEITKAMP, HEIDI campaign speech"
"FORTENBERRY, JEFFREY L. HONORABLE campaign speech"
"BACON, DONALD campaign speech"
"SMITH, ADRIAN campaign speech"
"FISCHER, DEBRA S campaign speech"
"SHEA PORTER, CAROL campaign speech"
"KUSTER, ANN MCLANE campaign speech"
"NORCROSS, DONALD W campaign speech"
"LOBIONDO, FRANK A. campaign speech"
"MACARTHUR, THOMAS campaign speech"
"SMITH, CHRISTOPHER H campaign speech"
"GOTTHEIMER, JOSH campaign speech"
"PALLONE, FRANK JR campaign speech"
"LANCE, LEONARD campaign speech"
"SIRES, ALBIO campaign speech"
"PASCRELL, WILLIAM J. HON. campaign speech"
"PAYNE, DONALD M., JR. campaign speech"
"FRELINGHUYSEN, RODNEY P campaign speech"
"COLEMAN, BONNIE WATSON campaign speech"
"MENENDEZ, ROBERT campaign speech"
"LUJAN GRISHAM, MICHELLE campaign speech"
"PEARCE, STEVAN E. campaign speech"
"LUJAN, BEN R MR. campaign speech"
"HEINRICH, MARTIN campaign speech"
"TITUS, DINA campaign speech"
"AMODEI, MARK EUGENE campaign speech"
"ROSEN, JACKY campaign speech"
"KIHUEN, RUBEN campaign speech"
"HELLER, DEAN campaign speech"
"ZELDIN, LEE M campaign speech"
"KING, PETER T. HON. campaign speech"
"SUOZZI, THOMAS campaign speech"
"RICE, KATHLEEN campaign speech"
"MEEKS, GREGORY W. campaign speech"
"MENG, GRACE campaign speech"
"VELAZQUEZ, NYDIA M. campaign speech"
"JEFFRIES, HAKEEM campaign speech"
"CLARKE, YVETTE D campaign speech"
"NADLER, JERROLD L. MR. campaign speech"
"DONOVAN, DAN campaign speech"
"MALONEY, CAROLYN B. campaign speech"
"ESPAILLAT, ADRIANO campaign speech"
"CROWLEY, JOSEPH campaign speech"
"SERRANO, JOSE E. campaign speech"
"ENGEL, ELIOT L. campaign speech"
"LOWEY, NITA M campaign speech"
"MALONEY, SEAN PATRICK campaign speech"
"FASO, JOHN J. MR. campaign speech"
"TONKO, PAUL DAVID campaign speech"
"STEFANIK, ELISE M. campaign speech"
"TENNEY, CLAUDIA campaign speech"
"REED, THOMAS W II campaign speech"
"KATKO, JOHN M campaign speech"
"SLAUGHTER, LOUISE M campaign speech"
"HIGGINS, BRIAN campaign speech"
"COLLINS, CHRISTOPHER C campaign speech"
"GILLIBRAND, KIRSTEN ELIZABETH campaign speech"
"CHABOT, STEVE campaign speech"
"WENSTRUP, BRAD DR. campaign speech"
"BEATTY, JOYCE campaign speech"
"JORDAN, JAMES D. campaign speech"
"LATTA, ROBERT EDWARD campaign speech"
"JOHNSON, BILL campaign speech"
"GIBBS, ROBERT campaign speech"
"DAVIDSON, WARREN campaign speech"
"KAPTUR, MARCY C HON. campaign speech"
"TURNER, MICHAEL R campaign speech"
"FUDGE, MARCIA L campaign speech"
"RYAN, TIMOTHY J. campaign speech"
"JOYCE, DAVID P campaign speech"
"STIVERS, STEVE MR. campaign speech"
"RENACCI, JAMES B. campaign speech"
"BROWN, SHERROD campaign speech"
"BRIDENSTINE, JAMES FREDERICK campaign speech"
"MULLIN, MARKWAYNE MR. campaign speech"
"LUCAS, FRANK D. campaign speech"
"COLE, TOM campaign speech"
"RUSSELL, STEVEN DANE campaign speech"
"BONAMICI, SUZANNE MS. campaign speech"
"WALDEN, GREGORY P. MR. campaign speech"
"BLUMENAUER, EARL campaign speech"
"DEFAZIO, PETER A campaign speech"
"SCHRADER, KURT campaign speech"
"BRADY, ROBERT A campaign speech"
"EVANS, DWIGHT campaign speech"
"KELLY, GEORGE J JR campaign speech"
"PERRY, SCOTT campaign speech"
"THOMPSON, GLENN MR campaign speech"
"COSTELLO, RYAN A campaign speech"
"MEEHAN, PATRICK L. MR. campaign speech"
"FITZPATRICK, BRIAN campaign speech"
"SHUSTER, WILLIAM MR. campaign speech"
"MARINO, THOMAS ANTHONY campaign speech"
"BARLETTA, LOU campaign speech"
"ROTHFUS, KEITH MR. campaign speech"
"BOYLE, BRENDAN F campaign speech"
"DOYLE, MIKE campaign speech"
"DENT, CHARLES W campaign speech"
"SMUCKER, LLOYD K. campaign speech"
"CARTWRIGHT, MATT campaign speech"
"MURPHY, TIM campaign speech"
"CASEY, ROBERT P JR campaign speech"
"CICILLINE, DAVID N campaign speech"
"LANGEVIN, JAMES R. HONORABLE campaign speech"
"WHITEHOUSE, SHELDON II campaign speech"
"SANFORD, MARSHALL C. HON. campaign speech"
"WILSON, JOE THE HON. campaign speech"
"DUNCAN, JEFFREY D MR. campaign speech"
"GOWDY, TREY campaign speech"
"MULVANEY, JOHN MICHAEL  MICK campaign speech"
"CLYBURN, JAMES E. campaign speech"
"RICE, TOM campaign speech"
"NOEM, KRISTI LYNN campaign speech"
"ROE, DAVID PHILLIP DR. campaign speech"
"DUNCAN, JOHN J REP. JR. campaign speech"
"FLEISCHMANN, CHARLES J campaign speech"
"DESJARLAIS, SCOTT HON. campaign speech"
"COOPER, JAMES H.S. campaign speech"
"BLACK, DIANE L MRS. campaign speech"
"BLACKBURN, MARSHA MRS. campaign speech"
"KUSTOFF, DAVID campaign speech"
"COHEN, STEPHEN IRA campaign speech"
"CORKER, ROBERT P JR campaign speech"
"GOHMERT, LOUIS B. MR. JR. campaign speech"
"POE, TED campaign speech"
"RATCLIFFE, JOHN L campaign speech"
"HENSARLING, JEB HON. campaign speech"
"BARTON, JOE LINUS campaign speech"
"CULBERSON, JOHN campaign speech"
"BRADY, KEVIN campaign speech"
"GREEN, ALEXANDER campaign speech"
"MCCAUL, MICHAEL campaign speech"
"CONAWAY, K MICHAEL campaign speech"
"GRANGER, KAY campaign speech"
"THORNBERRY, WILLIAM MCCLELLAN ""MAC"" campaign speech"
"WEBER, RANDY campaign speech"
"GONZALEZ, VICENTE campaign speech"
"O ROURKE, ROBERT BETO campaign speech"
"FLORES, BILL campaign speech"
"LEE, SHEILA JACKSON campaign speech"
"ARRINGTON, JODEY COOK campaign speech"
"CASTRO, JOAQUIN campaign speech"
"SMITH, LAMAR S campaign speech"
"OLSON, PETER G campaign speech"
"HURD, WILLIAM campaign speech"
"MARCHANT, KENNY EWELL campaign speech"
"WILLIAMS, ROGER campaign speech"
"BURGESS, MICHAEL CLIFTON campaign speech"
"FARENTHOLD, RANDOLPH BLAKE campaign speech"
"CUELLAR, ROBERTO ENRIQUE campaign speech"
"GREEN, RAYMOND E. 'GENE' campaign speech"
"JOHNSON, EDDIE BERNICE campaign speech"
"CARTER, JOHN RICE campaign speech"
"SESSIONS, PETE MR. campaign speech"
"VEASEY, MARC ALLISON MR. campaign speech"
"VELA, FILEMON campaign speech"
"DOGGETT, LLOYD campaign speech"
"BABIN, BRIAN campaign speech"
"CRUZ, RAFAEL EDWARD TED campaign speech"
"BISHOP, ROBERT campaign speech"
"STEWART, CHRIS campaign speech"
"CHAFFETZ, JASON campaign speech"
"LOVE, MIA campaign speech"
"HATCH, ORRIN G campaign speech"
"WITTMAN, ROBERT J MR. campaign speech"
"TAYLOR, SCOTT campaign speech"
"SCOTT, ROBERT C. campaign speech"
"MCEACHIN, ASTON DONALD campaign speech"
"GARRETT, THOMAS ALEXANDER MR. JR. campaign speech"
"GOODLATTE, ROBERT W. campaign speech"
"BRAT, DAVID ALAN MR. campaign speech"
"BEYER, DONALD STERNOFF JR. campaign speech"
"GRIFFITH, H MORGAN campaign speech"
"COMSTOCK, BARBARA J HONORABLE campaign speech"
"CONNOLLY, GERRY campaign speech"
"KAINE, TIMOTHY MICHAEL campaign speech"
"WELCH, PETER campaign speech"
"SANDERS, BERNARD campaign speech"
"DELBENE, SUZAN K campaign speech"
"LARSEN, RICK campaign speech"
"HERRERA BEUTLER, JAIME campaign speech"
"NEWHOUSE, DAN campaign speech"
"MCMORRIS RODGERS, CATHY campaign speech"
"KILMER, DEREK campaign speech"
"JAYAPAL, PRAMILA campaign speech"
"REICHERT, DAVE campaign speech"
"SMITH, D. ADAM campaign speech"
"HECK, DENNIS campaign speech"
"CANTWELL, MARIA campaign speech"
"RYAN, PAUL D. campaign speech"
"POCAN, MARK campaign speech"
"KIND, RONALD JAMES campaign speech"
"MOORE, GWEN S campaign speech"
"SENSENBRENNER, F. JAMES JR. campaign speech"
"GROTHMAN, GLENN S. campaign speech"
"DUFFY, SEAN campaign speech"
"GALLAGHER, MICHAEL JOHN campaign speech"
"JOHNSON, RONALD HAROLD campaign speech"
"BALDWIN, TAMMY campaign speech"
"MCKINLEY, DAVID B. MR. campaign speech"
"MOONEY, ALEXANDER XAVIER campaign speech"
"JENKINS, EVAN H campaign speech"
"MANCHIN III, JOE campaign speech"
"CHENEY, ELIZABETH MRS. campaign speech"
"BARRASSO, JOHN A campaign speech"
